주차장코드,주차장명,주소,주소2,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주자면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금,위도,경도
1042405,언북초교 공영주차장(구),강남구 청담동 27-0,서울특별시 강남구 청담동 27-0,NW,노외 주차장,1,시간제 주차장,02-2176-0908,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),225,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-08 10:55,N,무료,N,무료,180000,,300,5,300,5,0,0,0,0,,37.51999434,127.0456589
1042406,삼성1문화센터 공영주차장(구),강남구 삼성동 161-2,서울특별시 강남구 삼성동 161-2,NW,노외 주차장,1,시간제 주차장,02-2176-0910,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),70,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-07 18:19,N,무료,N,무료,280000,,400,5,400,5,0,0,0,0,,37.51434435,127.0626519
1042410,논현초교 공영주차장(구),강남구 논현동 168-0,서울특별시 강남구 논현동 168-0,NW,노외 주차장,1,시간제 주차장,02-2176-0943,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),192,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-08 11:14,N,무료,N,무료,180000,,300,5,300,5,0,0,0,0,,37.50822463,127.0262625
1042421,언주초 공영주차장(구),강남구 도곡동 922-0,서울특별시 강남구 도곡동 922-0,NW,노외 주차장,1,시간제 주차장,02-2176-0929,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),191,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-08 18:22,N,무료,N,무료,120000,,200,5,200,5,0,0,0,0,,37.48664435,127.0370504
1051018,연광초교지하공동주차장(구),은평구 불광동 400-6,서울특별시 은평구 불광동 400-6,NW,노외 주차장,1,시간제 주차장,,0,미연계중,152,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-11-27 14:32,N,무료,N,무료,70000,,100,5,100,5,0,0,0,0,0,37.62387156,126.9242215
1051043,구파발역 공영주차장(시),은평구 진관동 66-30,서울특별시 은평구 진관동 66-30,NW,노외 주차장,1,시간제 주차장,02-2290-6088,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),399,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2022-08-17 15:44,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,,37.63800702,126.9193218
1052723,살곶이(평면) 공영주차장(구),성동구 사근동 104-0,서울특별시 성동구 사근동 104-0,NW,노외 주차장,1,시간제 주차장,02-2204-7970,2,20~120분이내 연계데이터 존재(정보수집중),102,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-28 13:31,N,무료,N,무료,,,50,5,50,5,0,0,0,0,,37.55384954,127.0482917
1052737,응봉역공영주차장(구),성동구 응봉동 3-11,서울특별시 성동구 응봉동 3-11,NW,노외 주차장,1,시간제 주차장,,0,미연계중,64,N,무료,N,야간 미개방,0,0,0,0,0,0,2020-04-28 15:33,Y,유료,Y,유료,,,,,,,0,0,0,0,,,
1052741,마장축산물시장(건물) 공영주차장(구),성동구 마장동 525-1,서울특별시 성동구 마장동 525-1,NW,노외 주차장,1,시간제 주차장,02-2204-7970,2,20~120분이내 연계데이터 존재(정보수집중),117,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-28 13:29,N,무료,N,무료,120000,,250,5,250,5,0,0,0,0,,37.571538,127.039926
1053712,볏골공원 지하공영주차장(구),강서구 화곡동 98-99,서울특별시 강서구 화곡동 98-99,NW,노외 주차장,1,시간제 주차장,02-2065-1575,2,20~120분이내 연계데이터 존재(정보수집중),231,Y,유료,N,야간 미개방,0,0,0,0,0,0,2023-07-19 18:07,Y,유료,Y,유료,60000,,1200,60,100,5,0,0,0,0,,37.54149243,126.844396
1056832,한누리(구),동작구 사당동 1046-1,서울특별시 동작구 사당동 1046-1,NW,노외 주차장,1,시간제 주차장,,0,미연계중,45,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:31,N,무료,N,무료,100000,,150,5,150,5,0,0,0,0,35000,37.47743578,126.9770784
1056834,동작주차공원(구),동작구 동작동 326-0,서울특별시 동작구 동작동 326-0,NW,노외 주차장,1,시간제 주차장,,0,미연계중,147,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:31,N,무료,N,무료,70000,,100,5,100,5,0,0,0,0,,,
1059009,신사동 제1공영주차장(구),관악구 신림동 511-1,서울특별시 관악구 신림동 511-1,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2081-2675,0,미연계중,41,Y,유료,N,야간 미개방,900,1900,900,1600,0,0,2019-06-10 9:33,N,무료,N,무료,0,,50,5,50,5,0,0,0,0,0,,
1079122,길음역환승주차장(구),성북구 하월곡동 104-112,서울특별시 성북구 하월곡동 104-112,NW,노외 주차장,1,시간제 주차장,02-6923-0023,0,미연계중,147,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:37,N,무료,N,무료,120000,,150,5,150,5,0,0,0,0,10000,,
1140909,잠원동방음언덕형공영주차장(구),서초구 잠원동 10-33,서울특별시 서초구 잠원동 10-33,NW,노외 주차장,3,시간제 + 거주자 주차장,02-511-3015,0,미연계중,60,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-26 11:00,N,무료,N,무료,120000,,300,10,300,10,0,0,0,0,0,37.51638775,127.0163891
1140910,반포2동 공영주차장(구),서초구 반포동 5-1,서울특별시 서초구 반포동 5-1,NW,노외 주차장,1,시간제 주차장,02-534-2772,0,미연계중,134,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:32,N,무료,N,무료,120000,,300,10,300,10,0,0,0,0,0,,
1140911,반포서래공영주차장[서래마을 3호점](구),서초구 반포동 95-13,서울특별시 서초구 반포동 95-13,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),7,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-26 11:09,N,무료,N,무료,120000,,150,5,150,5,0,0,0,0,0,37.49814931,126.9978319
1140956,청계산 청룡주차장(구),서초구 신원동 224-3,서울특별시 서초구 신원동 224-3,NW,노외 주차장,1,시간제 주차장,,0,미연계중,41,Y,유료,N,야간 미개방,0,0,500,1900,500,1900,2019-06-10 9:35,N,무료,N,무료,0,,200,10,200,10,0,0,0,0,3000,,
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,서울특별시 관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2022-09-07 9:23,N,무료,Y,유료,,1.16E+12,220,5,220,5,0,0,0,0,,37.48695963,126.9329544
1167546,독산동 금천교 공영주차장(시),금천구 독산동 1081-4,서울특별시 금천구 독산동 1081-4,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2023-10-12 11:27,N,무료,Y,유료,0,1.15E+12,400,5,400,5,0,0,0,0,0,37.46654151,126.8899352
1189778,신답고가 주변(구),동대문구 답십리동 530-6,서울특별시 동대문구 답십리동 530-6,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2019-06-10 9:58,N,무료,Y,유료,120000,1.12E+12,500,10,500,10,0,0,0,0,36000,37.56977549,127.0504248
1193467,동대문소방서노상(구),동대문구 장안동 434-0,서울특별시 동대문구 장안동 434-0,NS,노상 주차장,1,시간제 주차장,02-456-2591,0,미연계중,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2019-06-10 9:58,N,무료,Y,유료,120000,1.12E+12,500,10,500,10,0,0,0,0,36000,37.5639433,127.0671458
119824,여의도공원앞1 노상주차장(구),영등포구 여의도동 2-11,서울특별시 영등포구 여의도동 2-11,NS,노상 주차장,1,시간제 주차장,02-2650-1436,0,미연계중,1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2020-09-09 10:42,N,무료,Y,유료,200000,1.16E+12,500,5,1000,10,0,0,0,0,20000,37.52521469,126.9194573
1208601,청계2(북2) 공영주차장(시),종로구 관수동 91-4,서울특별시 종로구 관수동 91-4,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2022-09-30 18:28,N,무료,Y,유료,0,1.11E+12,750,5,750,5,0,0,0,0,0,37.56877035,126.9957864
1210657,청계3(북1) 공영주차장(시),종로구 예지동 140-1,서울특별시 종로구 예지동 140-1,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2022-09-30 18:32,N,무료,Y,유료,0,1.11E+12,750,5,750,5,0,0,0,0,0,37.56962119,127.0008557
1234305,가마산고가밑 공영주차장(시),구로구 구로동 414-13,서울특별시 구로구 구로동 414-13,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2021-10-07 15:26,N,무료,Y,유료,0,1.15E+12,120,5,120,5,0,0,0,0,0,37.49293677,126.882609
1235522,청계3(남) 공영주차장(시),중구 주교동 51-3,서울특별시 중구 주교동 51-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2022-09-30 18:31,N,무료,Y,유료,0,1.11E+12,750,5,750,5,0,0,0,0,0,37.56899628,126.9994177
1235665,청계6(청평화) 공영주차장(시),중구 신당동 217-91 0,서울특별시 중구 신당동 217-91 0,NS,노상 주차장,1,시간제 주차장,02-2252-8036,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0,2400,0,2400,0,0,2022-07-21 17:47,N,무료,Y,유료,0,1.11E+12,450,5,450,5,0,0,0,0,0,37.56960064,127.0151483
1236307,청계1(남) 공영주차장(시),중구 수표동 65-4,서울특별시 중구 수표동 65-4,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2022-09-30 18:26,N,무료,Y,유료,,1.11E+12,750,5,750,5,0,0,0,0,,37.56800977,126.990053
1236552,소파로케이블카앞 관광버스전용 주차장(시),중구 회현동1가 1-15,서울특별시 중구 회현동1가 1-15,NS,노상 주차장,4,버스전용 주차장,02-2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,N,무료,N,야간 미개방,0,2400,0,2400,0,2400,2023-07-12 15:59,N,무료,N,무료,0,1.11E+12,0,0,0,0,0,0,0,0,0,,
1236612,남대문 화물 공영주차장(시),중구 남대문로4가 24-1,서울특별시 중구 남대문로4가 24-1,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1900,900,1900,2022-07-25 9:27,N,무료,N,무료,,1.11E+12,400,5,400,5,0,0,0,0,,37.56091076,126.9778802
1236949,한진면세점 앞(구),중구 남대문로5가 533-0,서울특별시 중구 남대문로5가 533-0,NS,노상 주차장,1,시간제 주차장,02-2280-8360,2,20~120분이내 연계데이터 존재(정보수집중),1,Y,유료,N,야간 미개방,900,2000,900,1600,0,0,2023-02-16 17:51,N,무료,Y,유료,180000,1.11E+12,250,5,250,5,0,0,0,0,,37.55626853,126.9754866
1237608,해운센터 앞(구),중구 소공동 59-0,서울특별시 중구 소공동 59-0,NS,노상 주차장,1,시간제 주차장,02-2280-8360,2,20~120분이내 연계데이터 존재(정보수집중),1,Y,유료,N,야간 미개방,900,2000,900,1600,0,0,2023-02-16 17:47,N,무료,Y,유료,250000,1.11E+12,600,5,600,5,0,0,0,0,,37.56307815,126.9807215
1247636,신설동 공영주차장(시),동대문구 신설동 114-29,서울특별시 동대문구 신설동 114-29,NW,노외 주차장,1,시간제 주차장,02-2232-6096,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),79,Y,유료,N,야간 미개방,900,1900,900,1900,900,1900,2023-07-06 16:46,N,무료,N,무료,,,260,5,260,5,0,0,0,0,,37.57252061,127.0242568
1247641,천호2동노외주차장(구),강동구 천호동 457-7,서울특별시 강동구 천호동 457-7,NW,노외 주차장,1,시간제 주차장,02-478-6147,0,미연계중,13,Y,유료,N,야간 미개방,900,2000,900,2000,900,2000,2019-06-10 9:37,N,무료,N,무료,0,,250,5,250,5,0,0,0,0,0,37.54032781,127.1230483
1247659,구의3동 공영주차장(구),광진구 구의동 219-15,서울특별시 광진구 구의동 219-15,NW,노외 주차장,1,시간제 주차장,02-2049-4596,0,미연계중,159,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-07-14 13:34,N,무료,N,무료,0,,150,5,150,5,0,0,0,0,,37.5391245,127.0913897
1247661,광진광장 공영주차장(구),광진구 군자동 374-9,서울특별시 광진구 군자동 374-9,NW,노외 주차장,1,시간제 주차장,02-2049-4596,0,미연계중,33,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-04-26 15:30,N,무료,N,무료,0,,250,5,0,0,0,0,0,0,100000,37.54770648,127.0732696
1247675,암사1동 주차장(구),강동구 암사동 59-2,서울특별시 강동구 암사동 59-2,NW,노외 주차장,1,시간제 주차장,02-428-2431,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),114,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-04-28 16:03,N,무료,N,무료,80000,,150,5,150,5,0,0,0,0,,37.55289,127.1377215
1247677,양화진 공영주차장(구),마포구 합정동 139-21,서울특별시 마포구 합정동 139-21,NW,노외 주차장,1,시간제 주차장,02-300-5052,0,미연계중,130,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2022-01-27 18:25,N,무료,N,무료,80000,,200,5,,,0,0,0,0,0,,
1247678,망원1-2 공영주차장(구),마포구 망원동 403-2,서울특별시 마포구 망원동 403-2,NW,노외 주차장,1,시간제 주차장,02-300-5052,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),148,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-07-07 14:12,N,무료,N,무료,140000,,200,5,0,0,0,0,0,0,0,37.55558459,126.9058731
1247680,휘경유수지 공영주차장(구),동대문구 휘경동 348-0,서울특별시 동대문구 휘경동 348-0,NW,노외 주차장,1,시간제 주차장,,0,미연계중,55,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:37,N,무료,N,무료,170000,,500,10,500,10,0,0,0,0,0,37.58908686,127.0697738
1247683,덕원주차장(구),동대문구 장안동 458-8,서울특별시 동대문구 장안동 458-8,NW,노외 주차장,1,시간제 주차장,02-6240-0150,0,미연계중,77,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:37,N,무료,N,무료,110000,,1000,30,300,10,0,0,0,0,15000,,
1247684,청계주차장(구),동대문구 용두동 129-4,서울특별시 동대문구 용두동 129-4,NW,노외 주차장,1,시간제 주차장,02-923-4147,0,미연계중,122,Y,유료,N,야간 미개방,0,2400,0,2400,0,0,2019-06-10 9:37,N,무료,Y,유료,250000,,1500,30,500,10,0,0,0,0,15000,,
1254863,영등포동제3공영(구),영등포구 영등포동4가 442-0,서울특별시 영등포구 영등포동4가 442-0,NW,노외 주차장,1,시간제 주차장,02-2677-1401,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),172,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-30 16:24,N,무료,N,무료,120000,,250,5,250,5,0,0,0,0,0,37.517985,126.902785
1254864,신길1동공영(구),영등포구 신길동 120-82,서울특별시 영등포구 신길동 120-82,NW,노외 주차장,1,시간제 주차장,02-2650-1454,0,미연계중,15,N,무료,N,야간 미개방,0,0,0,0,0,0,2022-09-13 15:45,Y,유료,Y,유료,65000,,0,0,0,0,0,0,0,0,0,,
1268780,청파동1마을공원공영주차장(구),용산구 청파동3가 118-102,서울특별시 용산구 청파동3가 118-102,NW,노외 주차장,1,시간제 주차장,070-8956-2371,0,미연계중,105,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:38,N,무료,N,무료,98000,,150,5,150,5,0,0,0,0,0,37.54294115,126.9684714
1268812,청파동청사(구),용산구 청파동2가 91-1,서울특별시 용산구 청파동2가 91-1,NW,노외 주차장,1,시간제 주차장,02-749-5314,0,미연계중,32,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:35,N,무료,N,무료,98000,,150,5,150,5,0,0,0,0,0,37.54549939,126.9699178
1268813,용산전자상가4(구),용산구 원효로3가 51-5,서울특별시 용산구 원효로3가 51-5,NW,노외 주차장,1,시간제 주차장,02-707-3163,0,미연계중,114,Y,유료,N,야간 미개방,800,2200,800,2200,800,2200,2019-06-10 9:35,N,무료,N,무료,130000,,250,5,250,5,0,0,0,0,,,
1268816,후암동주차장(구),용산구 후암동 65-4,서울특별시 용산구 후암동 65-4,NW,노외 주차장,1,시간제 주차장,02-749-5314,0,미연계중,39,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:35,N,무료,N,무료,140000,,150,5,150,5,0,0,0,0,0,37.55048874,126.9764859
1277144,영등포구청역 공영주차장(시),영등포구 당산동3가 370-3,서울특별시 영등포구 당산동3가 370-3,NW,노외 주차장,1,시간제 주차장,02-2290-6089,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),137,Y,유료,N,야간 미개방,500,100,500,100,500,100,2023-06-30 15:18,N,무료,N,무료,112000,,260,5,260,5,0,0,0,0,0,37.52432737,126.8954889
